time,temp
43565.60562,21
43565.60564,21
43565.60567,21
43565.6058,21.5
43565.60581,21
43565.60587,21.5
43565.60594,21
43565.60597,21
43565.60601,21
43565.60615,21
43565.6062,21.5
43565.6062,21
43565.60631,21
43565.60636,21
43565.6065,21
43565.6065,21
43565.60657,21.5
43565.60668,21
43565.60673,21
43565.60682,21
43565.60685,21
43565.60694,21.5
43565.60701,21
43565.60708,21
43565.60715,31.26
43565.60722,21
43565.60724,21
43565.60733,21.5
43565.60738,21
43565.60745,21
43565.60754,21
43565.60759,21
43565.60763,21.5
43565.60768,19.52
43565.60777,21
43565.6078,21
43565.60789,21.95
43565.60789,21
43565.60791,21.36
43565.60793,21
43565.60803,21.5
43565.60814,21.93
43565.60814,21
43565.60817,21.91
43565.60817,21
43565.60826,21
43565.60828,21
43565.60837,19.92
43565.6084,21.5
43565.60847,21
43565.60851,21
43565.60854,21.87
43565.60856,21.91
43565.60861,21
43565.60863,21
43565.6087,21.5
43565.6087,21
43565.60882,27.73
43565.60886,21
43565.60893,21
43565.60898,21
43565.609,21
43565.609,21
43565.60902,21
43565.60905,21
43565.60909,21.5
43565.60909,21
43565.60935,21
43565.60939,21
43565.60942,21.5
43565.60942,21.5
43565.60944,21.5
43565.60969,21
43565.60974,21.5
43565.60976,21.5
43565.60979,21.5
43565.60979,21.5
43565.60986,21.5
43565.61002,21
43565.61009,21.5
43565.61013,21.5
43565.61018,21.5
43565.6102,21.5
43565.61039,21
43565.61043,21.5
43565.61048,21.5
43565.6105,21.5
43565.61057,21.5
43565.61074,31.32
43565.61076,21
43565.6108,21.5
43565.61085,21.5
43565.61087,21.5
43565.61092,21.5
43565.61115,21
43565.61118,21.5
43565.6112,21.5
43565.61122,19.5
43565.61129,21.5
43565.61132,21.5
43565.61141,22.07
43565.61145,21.39
43565.6115,21.5
43565.6115,21
43565.61159,21.5
43565.61159,21.5
43565.61164,21.5
43565.61173,22.03
43565.61182,21
43565.61185,22.04
43565.61187,21.5
43565.61192,19.87
43565.61194,21.5
43565.61196,21.5
43565.61199,21.5
43565.61208,22
43565.61217,22.01
43565.61219,21.5
43565.61222,21
43565.61226,21.5
43565.61226,21.5
43565.61238,21.5
43565.6124,27.74
43565.61256,21.5
43565.61256,21
43565.61263,21.5
43565.61263,21.5
43565.61273,21.5
43565.61291,21.5
43565.61291,21
43565.613,21.5
43565.613,21.5
43565.6131,21.5
43565.61326,21.5
43565.61326,21
43565.61333,21.5
43565.61337,21.5
43565.61342,21.5
43565.61361,21.5
43565.61363,21
43565.6137,21.5
43565.61372,21.5
43565.61379,21.5
43565.61395,21
43565.614,21.5
43565.61407,22
43565.61407,21.5
43565.61414,21.5
43565.61432,21.5
43565.61435,31.21
43565.61437,21.5
43565.61439,22
43565.61444,21.5
43565.61449,21.5
43565.61469,19.43
43565.61472,21.5
43565.61474,21.5
43565.61476,22
43565.61476,21.5
43565.61486,21.5
43565.61495,22.17
43565.61502,21.4
43565.61509,21.5
43565.61509,21.5
43565.61516,22
43565.61516,21.5
43565.6152,21.5
43565.61527,22.11
43565.6153,22.11
43565.61543,21.5
43565.61544,21.5
43565.61544,19.79
43565.6155,21.5
43565.61553,22
43565.61557,21.5
43565.61569,22.07
43565.61578,22.09
43565.61578,21.5
43565.61578,21.5
43565.61585,22
43565.61585,21.5
43565.61592,21.5
43565.61597,27.76
43565.61611,22
43565.61611,21.5
43565.61611,21.5
43565.6162,21.5
43565.61627,21.5
43565.61645,21.5
43565.61648,22
43565.61648,21.5
43565.61659,21.5
43565.61664,21.5
43565.6168,21.5
43565.61694,21.5
43565.61699,21.5
43565.61703,22
43565.61703,21.5
43565.61724,21.5
43565.61726,22
43565.61729,21.5
43565.61731,21.5
43565.61736,21.5
43565.61756,22
43565.61756,21.5
43565.6177,21.5
43565.61789,22
43565.61791,21.5
43565.61796,31.08
43565.61801,21.5
43565.61805,21.5
43565.61807,21.5
43565.6181,21.5
43565.61814,21.5
43565.61826,22
43565.61826,21.5
43565.61833,19.43
43565.61837,21.5
43565.6184,21.5
43565.61842,21.5
43565.61849,22.28
43565.61856,21.43
43565.61861,21.5
43565.61863,22
43565.61874,21.5
43565.61877,21.5
43565.61879,22.18
43565.61879,21.5
43565.61888,22.2
43565.61895,22
43565.61895,19.77
43565.61898,21.5
43565.61911,21.5
43565.61914,21.5
43565.61914,21.5
43565.6193,22.15
43565.61935,22
43565.61935,21.5
43565.61939,22.18
43565.61949,21.5
43565.61949,21.5
43565.61951,27.75
43565.61951,21.5
43565.61967,22
43565.61972,21.5
43565.61986,21.5
43565.61986,21.5
43565.61988,21.5
43565.62004,22
43565.62006,21.5
43565.6202,21.5
43565.62023,21.5
43565.62025,21.5
43565.62034,21.5
43565.62041,22
43565.62041,21.5
43565.6205,21.5
43565.62057,21.5
43565.62071,21.5
43565.62074,22
43565.62076,21.5
43565.6208,21.5
43565.62087,21.5
43565.6209,21.5
43565.62092,21.5
43565.62111,22
43565.62113,21.5
43565.62125,21.5
43565.62127,21.5
43565.62127,21.5
43565.62145,22
43565.62148,21.5
43565.62155,31.11
43565.62162,21.5
43565.62164,21.5
43565.62164,21.5
43565.62175,19.43
43565.62182,22
43565.62185,21.5
43565.62199,21.5
43565.62199,21.5
43565.62201,21.5
43565.62203,22.34
43565.6221,21.43
43565.62217,22
43565.62219,21.5
43565.62219,21.5
43565.62229,21.5
43565.62231,22.24
43565.62236,21.5
43565.62238,21.5
43565.62238,21.5
43565.6224,22.26
43565.62245,19.75
43565.62252,22
43565.62259,21.5
43565.62263,21.5
43565.62266,21.5
43565.6227,21.5
43565.62289,22.24
43565.62291,22
43565.62291,21.5
43565.623,22.24
43565.62301,21.5
43565.62303,21.5
43565.62307,21.5
43565.62312,27.77
43565.62324,22
43565.62328,21.5
43565.62337,21.5
43565.62342,21.5
43565.62342,21.5
43565.62361,22
43565.62363,21.5
43565.62375,21.5
43565.62377,21.5
43565.62377,21.5
43565.62381,21.5
43565.62398,22
43565.62411,21.5
43565.62414,21.5
43565.62414,21.5
43565.62416,21.5
43565.6243,22
43565.62449,21.5
43565.62449,21.5
43565.62451,21.5
43565.62453,21.5
43565.62467,22
43565.62472,22
43565.62486,21.5
43565.62486,21.5
43565.62488,21.5
43565.6249,21.5
43565.62493,22
43565.62514,21.5
43565.62516,31.26
43565.62518,21.5
43565.6252,21.5
43565.62523,21.5
43565.6253,19.48
43565.62532,22
43565.6255,21.5
43565.62553,22
43565.62553,21.5
43565.62557,22.43
43565.62557,21.5
43565.6256,22
43565.62562,21.5
43565.62564,21.46
43565.62571,22
43565.62588,21.5
43565.6259,21.5
43565.62592,22.29
43565.62592,21.5
43565.62594,21.5
43565.62597,19.82
43565.62601,22.36
43565.62604,22
43565.62624,21.5
43565.62627,21.5
43565.62627,21.5
43565.62631,21.5
43565.62641,22
43565.6265,22.3
43565.62652,22.32
43565.62661,21.5
43565.62664,27.83
43565.62664,21.5
43565.62664,21.5
43565.62668,21.5
43565.62673,22
43565.62699,21.5
43565.62699,21.5
43565.62701,21.5
43565.62705,21.5
43565.6271,22
43565.62726,21.5
43565.62729,22
43565.62736,21.5
43565.62738,21.5
43565.62738,21.5
43565.6274,22
43565.62763,21.5
43565.62766,21.5
43565.6277,21.5
43565.62775,22
43565.62775,21.5
43565.628,21.5
43565.62803,21.5
43565.62807,21.5
43565.6281,22
43565.6281,21.5
43565.62837,21.5
43565.6284,21.5
43565.62842,21.5
43565.62847,21.5
43565.62849,22
43565.62874,31.32
43565.62875,21.5
43565.62877,21.5
43565.62877,21.5
43565.62881,22
43565.62881,21.5
43565.62884,19.52
43565.62912,22.5
43565.62912,21.5
43565.62914,21.5
43565.62914,21.5
43565.62918,22
43565.62919,21.5
43565.62921,21.48
43565.62939,21.5
43565.62944,22.36
43565.62949,21.5
43565.62949,19.88
43565.62951,21.5
43565.62953,22
43565.62953,21.5
43565.62962,22.42
43565.62976,21.5
43565.62986,21.5
43565.62988,22
43565.62988,21.5
43565.62988,21.5
43565.63011,22.38
43565.63016,22.37
43565.63016,21.5
43565.63016,21.5
43565.6302,21.5
43565.63025,27.92
43565.63027,22
43565.63027,21.5
43565.63037,22
43565.63039,22
43565.63053,21.5
43565.63053,21.5
43565.63055,21.5
43565.6306,21.5
43565.63062,21.5
43565.63076,22
43565.63078,22
43565.6308,22
43565.63081,21.5
43565.6309,21.5
43565.63092,21.5
43565.63097,21.5
43565.63101,22
43565.63106,22
43565.63113,22
43565.63118,21.5
43565.63127,21.5
43565.63127,21.5
43565.63127,21.5
43565.63129,22
43565.63131,21.5
43565.63136,22
43565.63145,21.5
43565.63164,21.5
43565.63164,21.5
43565.63171,22
43565.63171,21.5
43565.63173,22
43565.6318,22
43565.63182,21.5
43565.63199,21.5
43565.63201,21.5
43565.63206,21.5
43565.63215,22
43565.63217,22
43565.63219,22
43565.6322,22
43565.63233,31.6
43565.63236,21.5
43565.63236,19.57
43565.63238,22
43565.63238,21.5
43565.6324,21.5
43565.63247,22
43565.63252,22
43565.63266,21.5
43565.63268,22.55
43565.6327,21.5
43565.63275,21.5
43565.63277,22
43565.63277,21.51
43565.63284,22
43565.63284,22
43565.63289,22
43565.63296,22.41
43565.63296,22
43565.633,19.95
43565.63303,21.5
43565.63305,21.5
43565.63314,21.5
43565.63317,22.47
43565.63321,22
43565.6333,22
43565.6334,21.5
43565.63342,21.5
43565.63347,21.5
43565.63358,22
43565.63365,22
43565.63372,22.43
43565.63377,27.92
43565.63377,22.43
43565.63377,21.5
43565.63377,21.5
43565.63384,21.5
43565.63395,22
43565.634,22
43565.63414,21.5
43565.63414,21.5
43565.63418,21.5
43565.63432,22
43565.63437,22
43565.63449,21.5
43565.63451,21.5
43565.63453,21.5
43565.6346,22
43565.63474,22
43565.63486,21.5
43565.6349,21.5
43565.6349,21.5
43565.63497,22
43565.63509,22
43565.63516,21.5
43565.6352,21.5
43565.63525,21.5
43565.63534,22
43565.63543,22
43565.63553,21.5
43565.63555,21.5
43565.63566,21.5
43565.63571,22
43565.63581,22
43565.6359,21.5
43565.63592,21.5
43565.63592,19.65
43565.63594,31.7
43565.63599,21.5
43565.63608,22
43565.63615,22
43565.63622,22.61
43565.63627,21.5
43565.63629,21.54
43565.63629,21.5
43565.63634,21.5
43565.63645,22
43565.6365,22
43565.63655,20.03
43565.63657,22.47
43565.63664,22
43565.63664,21.5
43565.63664,21.5
43565.63668,21.5
43565.63675,22.53
43565.63687,22
43565.63699,21.5
43565.63701,22
43565.63701,21.5
43565.63705,21.5
43565.63722,22
43565.63731,22.48
43565.63733,21.5
43565.63738,28
43565.63738,22.47
43565.63738,22
43565.63738,21.5
43565.6374,21.5
43565.63756,22
43565.63768,22
43565.63768,21.5
43565.6377,21.5
43565.63777,21.5
43565.63796,22
43565.63803,22
43565.63803,21.5
43565.63805,21.5
43565.63812,21.5
43565.63831,22
43565.6384,22
43565.6384,21.5
43565.63842,21.5
43565.63847,21.5
43565.63849,22
43565.63858,21.5
43565.63859,22
43565.63861,22
43565.63868,22
